scenario,case_id,build,locale,frame_id,ts_ms,pkg,path,total_ms,harvest_ms,root_ms,walk_ms,hash_ms,ocr_ms,nmt_ms,overlay_ms,n_regions,n_cards,ocr_raw,ocr_kept,ocr_w,ocr_h,ocr_scale,flags
first_view,settings_ru,7bde7ad,ru-RU,7,1790122789319,com.android.settings,a11y_full,414,7,4,3,0,0,158,26,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,8,1790122790976,com.android.settings,a11y_full,283,10,6,4,0,0,104,18,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,9,1790122792612,com.android.settings,a11y_full,373,4,2,2,0,0,144,26,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,10,1790122794254,com.android.settings,a11y_full,345,5,2,3,0,0,148,23,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,11,1790122795883,com.android.settings,a11y_full,305,10,8,2,0,0,115,23,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,12,1790122797534,com.android.settings,a11y_full,276,11,8,3,0,0,98,19,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,13,1790122799181,com.android.settings,a11y_full,292,7,5,2,0,0,112,20,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,16,1790122800830,com.android.settings,a11y_full,248,6,5,1,0,0,93,22,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,17,1790122802485,com.android.settings,a11y_full,249,6,4,2,0,0,104,18,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,18,1790122804174,com.android.settings,a11y_full,392,10,6,4,0,0,170,26,16,15,0,0,0,0,1.0,all
first_view,settings_ru,7bde7ad,ru-RU,54,1790123412432,com.android.settings,ocr_full,1070,84,6,78,1,360,451,1,20,13,20,20,1080,2400,1.0,a11y=0
first_view,settings_ru,7bde7ad,ru-RU,55,1790123415036,com.android.settings,ocr_full,922,106,6,100,0,252,429,0,20,13,20,20,1080,2400,1.0,a11y=0
first_view,settings_ru,7bde7ad,ru-RU,56,1790123417134,com.android.settings,ocr_full,834,40,4,36,1,240,417,1,20,13,20,20,1080,2400,1.0,a11y=0
first_view,settings_ru,7bde7ad,ru-RU,57,1790123419275,com.android.settings,ocr_full,1081,129,6,123,0,312,487,1,20,13,20,20,1080,2400,1.0,a11y=0
first_view,settings_ru,7bde7ad,ru-RU,58,1790123421887,com.android.settings,ocr_full,913,93,7,86,1,277,404,1,20,13,20,20,1080,2400,1.0,a11y=0
