case_id,build_sha,device,android_version,display_px,app_package,source_uri_or_asset,locale,viewport_and_zoom,focus,model_state,source_screenshot,output_screenshot,trace_csv,notes
menu_fr,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/ablation/captures/menu_fr/20260923T001211Z/source.png,study/evaluation/ablation/captures/menu_fr/20260923T001211Z/output.png,study/evaluation/ablation/captures/menu_fr/20260923T001211Z/frames.csv,"settled=yes after 8.2s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=1; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_fr,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/ablation/captures/menu_fr/20260923T001232Z/source.png,study/evaluation/ablation/captures/menu_fr/20260923T001232Z/output.png,study/evaluation/ablation/captures/menu_fr/20260923T001232Z/frames.csv,"INVALID: flags were set after the service's first pass, and no re-run followed (script bug, fixed); re-captured; settled=yes after 8.6s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=0 tesseract=1 focus=1; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_fr,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/ablation/captures/menu_fr/20260923T001253Z/source.png,study/evaluation/ablation/captures/menu_fr/20260923T001253Z/output.png,study/evaluation/ablation/captures/menu_fr/20260923T001253Z/frames.csv,"INVALID: flags were set after the service's first pass, and no re-run followed (script bug, fixed); re-captured; settled=yes after 6.9s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=0 focus=1; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/ablation/captures/menu_ru/20260923T001313Z/source.png,study/evaluation/ablation/captures/menu_ru/20260923T001313Z/output.png,study/evaluation/ablation/captures/menu_ru/20260923T001313Z/frames.csv,"settled=yes after 11.6s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=1; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
menu_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/ablation/captures/menu_ru/20260923T001337Z/source.png,study/evaluation/ablation/captures/menu_ru/20260923T001337Z/output.png,study/evaluation/ablation/captures/menu_ru/20260923T001337Z/frames.csv,"settled=yes after 9.7s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=0 tesseract=1 focus=1; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
menu_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/ablation/captures/menu_ru/20260923T001359Z/source.png,study/evaluation/ablation/captures/menu_ru/20260923T001359Z/output.png,study/evaluation/ablation/captures/menu_ru/20260923T001359Z/frames.csv,"settled=yes after 8.6s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=0 focus=1; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
menu_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/ablation/captures/menu_ru/20260923T001420Z/source.png,study/evaluation/ablation/captures/menu_ru/20260923T001420Z/output.png,study/evaluation/ablation/captures/menu_ru/20260923T001420Z/frames.csv,"settled=yes after 20.5s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=0; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
browser_es,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia es 'Café' rev 175479450 (2026-09-22), mobile: https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450",en-US,"Top of article, Chrome default zoom, no scroll",auto,en_es present,study/evaluation/ablation/captures/browser_es/20260923T001501Z/source.png,study/evaluation/ablation/captures/browser_es/20260923T001501Z/output.png,study/evaluation/ablation/captures/browser_es/20260923T001501Z/frames.csv,"settled=yes after 8.8s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=1; launch=https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450"
browser_es,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia es 'Café' rev 175479450 (2026-09-22), mobile: https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450",en-US,"Top of article, Chrome default zoom, no scroll",auto,en_es present,study/evaluation/ablation/captures/browser_es/20260923T001540Z/source.png,study/evaluation/ablation/captures/browser_es/20260923T001540Z/output.png,study/evaluation/ablation/captures/browser_es/20260923T001540Z/frames.csv,"INVALID: flags were set after the service's first pass, and no re-run followed (script bug, fixed); re-captured; settled=yes after 8.9s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=0 tesseract=1 focus=1; launch=https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450"
browser_es,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia es 'Café' rev 175479450 (2026-09-22), mobile: https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450",en-US,"Top of article, Chrome default zoom, no scroll",auto,en_es present,study/evaluation/ablation/captures/browser_es/20260923T001610Z/source.png,study/evaluation/ablation/captures/browser_es/20260923T001610Z/output.png,study/evaluation/ablation/captures/browser_es/20260923T001610Z/frames.csv,"INVALID: flags were set after the service's first pass, and no re-run followed (script bug, fixed); re-captured; settled=yes after 7.1s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=0 focus=1; launch=https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450"
browser_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia ru 'Кофе' rev 153564774 (2026-06-16), mobile: https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774",en-US,"Top of article, Chrome default zoom, no scroll",ru,en_ru present,study/evaluation/ablation/captures/browser_ru/20260923T001638Z/source.png,study/evaluation/ablation/captures/browser_ru/20260923T001638Z/output.png,study/evaluation/ablation/captures/browser_ru/20260923T001638Z/frames.csv,"settled=yes after 11.8s; 5 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=1; launch=https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774"
browser_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia ru 'Кофе' rev 153564774 (2026-06-16), mobile: https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774",en-US,"Top of article, Chrome default zoom, no scroll",ru,en_ru present,study/evaluation/ablation/captures/browser_ru/20260923T001711Z/source.png,study/evaluation/ablation/captures/browser_ru/20260923T001711Z/output.png,study/evaluation/ablation/captures/browser_ru/20260923T001711Z/frames.csv,"settled=yes after 8.7s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=0 multiscale=1 tesseract=1 focus=1; launch=https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774"
browser_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia ru 'Кофе' rev 153564774 (2026-06-16), mobile: https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774",en-US,"Top of article, Chrome default zoom, no scroll",ru,en_ru present,study/evaluation/ablation/captures/browser_ru/20260923T001741Z/source.png,study/evaluation/ablation/captures/browser_ru/20260923T001741Z/output.png,study/evaluation/ablation/captures/browser_ru/20260923T001741Z/frames.csv,"settled=yes after 9.2s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=0; launch=https://ru.m.wikipedia.org/w/index.php?title=%D0%9A%D0%BE%D1%84%D0%B5&oldid=153564774"
settings_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.settings,Russian Android Settings,ru-RU,Settings main list scrolled to top,auto,en_ru present,study/evaluation/ablation/captures/settings_ru/20260923T001841Z/source.png,study/evaluation/ablation/captures/settings_ru/20260923T001841Z/output.png,study/evaluation/ablation/captures/settings_ru/20260923T001841Z/frames.csv,"settled=yes after 10.2s; 3 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=1 focus=1; launch=intent android.settings.SETTINGS"
settings_ru,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.settings,Russian Android Settings,ru-RU,Settings main list scrolled to top,auto,en_ru present,study/evaluation/ablation/captures/settings_ru/20260923T001907Z/source.png,study/evaluation/ablation/captures/settings_ru/20260923T001907Z/output.png,study/evaluation/ablation/captures/settings_ru/20260923T001907Z/frames.csv,"INVALID: flags were set after the service's first pass, and no re-run followed (script bug, fixed); re-captured; settled=yes after 5.0s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=0 multiscale=1 tesseract=1 focus=1; launch=intent android.settings.SETTINGS"
menu_fr,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/ablation/captures/menu_fr/20260923T004345Z/source.png,study/evaluation/ablation/captures/menu_fr/20260923T004345Z/output.png,study/evaluation/ablation/captures/menu_fr/20260923T004345Z/frames.csv,"settled=yes after 7.8s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=0 tesseract=1 focus=1; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_fr,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/ablation/captures/menu_fr/20260923T004416Z/source.png,study/evaluation/ablation/captures/menu_fr/20260923T004416Z/output.png,study/evaluation/ablation/captures/menu_fr/20260923T004416Z/frames.csv,"settled=yes after 6.8s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=1 tesseract=0 focus=1; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
browser_es,7bde7ad,sdk_gphone64_arm64,14,1080x2400,com.android.chrome,"Wikipedia es 'Café' rev 175479450 (2026-09-22), mobile: https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450",en-US,"Top of article, Chrome default zoom, no scroll",auto,en_es present,study/evaluation/ablation/captures/browser_es/20260923T004444Z/source.png,study/evaluation/ablation/captures/browser_es/20260923T004444Z/output.png,study/evaluation/ablation/captures/browser_es/20260923T004444Z/frames.csv,"settled=yes after 8.7s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; flags: a11y=1 multiscale=0 tesseract=1 focus=1; launch=https://es.m.wikipedia.org/w/index.php?title=Caf%C3%A9&oldid=175479450"
