--------- beginning of main
09-23 01:09:44.013  3216  3216 I ScreenTranslatorA11y: Accessibility service connected
09-23 01:09:44.062  3216  6134 I ScreenTranslatorPipe: model prewarm [ru→en]: ready=true in 0ms
09-23 01:09:44.172  3216  3216 I ScreenTranslatorA11y: Overlay geometry: display=1080x2400, root=1080x2400 @ (0, 0)
09-23 01:09:45.132  3216  3313 I ScreenTranslatorPipe: OCR 1080x2400 (scale=1.00) in 861ms → 45 region(s)
09-23 01:09:45.137  3216  3255 I ScreenTranslatorPipe:   [en] "CHECK KITCHEN BLACKBOARD FOR PRICES & THIS WEEK'S SELECTION" @ Rect(55, 295 - 1026, 321)
09-23 01:09:45.137  3216  3255 I ScreenTranslatorPipe:   [en] "uniquely Bavarian flavor, served boiled or grilled." @ Rect(58, 707 - 747, 738)
09-23 01:09:45.137  3216  5827 I ScreenTranslatorPipe:   [en] "hot dog. Grilled or boiled, it is mild and satisfying." @ Rect(57, 1467 - 745, 1497)
09-23 01:09:45.138  3216  3255 I ScreenTranslatorPipe:   [en] "Light and flavorful, it's made with oil and vinegar" @ Rect(56, 1836 - 709, 1866)
09-23 01:09:45.141  3216  6135 I ScreenTranslatorPipe:   [en] "A Munich staple: a mild pork & veal sausage with a" @ Rect(77, 663 - 773, 695)
09-23 01:09:45.141  3216  6135 I ScreenTranslatorPipe:   [en] "A thick frankfurter but different than the average" @ Rect(55, 1424 - 749, 1456)
09-23 01:09:45.141  3216  6135 I ScreenTranslatorPipe:   [en] "old recipe of pork, marjoram, ginger & cardamom." @ Rect(56, 505 - 765, 536)
09-23 01:09:45.142  3216  6136 I ScreenTranslatorPipe:   [en] "Cool, crunchy cucumbers with dill, vinegar & more." @ Rect(59, 1995 - 745, 2025)
09-23 01:09:45.142  3216  6136 I ScreenTranslatorPipe:   [en] "Course texture and combination of mustard seed" @ Rect(55, 1226 - 748, 1251)
09-23 01:09:45.143  3216  6136 I ScreenTranslatorPipe:   [en] "and marjoram blend to create old world flavor." @ Rect(55, 1268 - 717, 1299)
09-23 01:09:45.143  3216  6136 I ScreenTranslatorPipe:   [en] "The Ratskeller's own traditional "haus" recipe" @ Rect(55, 1677 - 671, 1706)
09-23 01:09:45.143  3216  6135 I ScreenTranslatorPipe:   [en] "wunderbar when cut thick and fried (like we do)." @ Rect(57, 1077 - 744, 1108)
09-23 01:09:45.143  3216  3313 I ScreenTranslatorPipe:   [en] "From the city of Nürnberg, made from a 700 year" @ Rect(57, 463 - 754, 493)
09-23 01:09:45.143  3216  6135 I ScreenTranslatorPipe:   [en] "It's sort of a German meatloaf, at its most" @ Rect(60, 1033 - 647, 1067)
09-23 01:09:45.144  3216  3313 I ScreenTranslatorPipe:   [en] "the most popular in Germany - and the Rat!" @ Rect(52, 889 - 674, 919)
09-23 01:09:45.144  3216  3255 I ScreenTranslatorPipe:   [en] "This delicately seasoned pork sausage is one of" @ Rect(51, 846 - 717, 878)
09-23 01:09:45.146  3216  6136 I ScreenTranslatorPipe:   [en] "with a cool beer "vom Fass"." @ Rect(54, 2181 - 433, 2205)
09-23 01:09:45.146  3216  3255 I ScreenTranslatorPipe:   [en] "made with lots of love." @ Rect(57, 1716 - 360, 1740)
09-23 01:09:45.146  3216  6135 I ScreenTranslatorPipe:   [en] "A seasonal favorite." @ Rect(79, 2032 - 321, 2063)
09-23 01:09:45.156  3216  6136 I ScreenTranslatorPipe:   [en] "Copy text from image x" @ Rect(398, 2089 - 786, 2131)
09-23 01:09:45.331  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [en]/low-conf(0.82) "Alpine guides, soldiers & beer drinkers." → [en conf=0.82 cyr=0] "Alpine guides, soldiers & beer drinkers."
09-23 01:09:45.333  3216  6136 I ScreenTranslatorPipe:   [und] "Alpine guides, soldiers & beer drinkers." @ Rect(53, 2336 - 578, 2365)
09-23 01:09:45.342  3216  3313 I ScreenTranslatorPipe:   [en] "Good ones are hara to come Dy. satyand so go0d" @ Rect(55, 2141 - 744, 2173)
09-23 01:09:45.347  3216  6134 I ScreenTranslatorPipe:   [und] ""Our Wurst ís the Best"" @ Rect(413, 168 - 897, 215)
09-23 01:09:45.384  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [en]/low-conf(0.60) "Sides und Snacks" → [en conf=0.60 cyr=0] "Sides und Snacks"
09-23 01:09:45.384  3216  6136 I ScreenTranslatorPipe:   [und] "Sides und Snacks" @ Rect(76, 1531 - 408, 1583)
09-23 01:09:45.395  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [en]/low-conf(0.79) "instead of mayo." → [en conf=0.79 cyr=0] "instead of mayo."
09-23 01:09:45.395  3216  3313 I ScreenTranslatorPipe:   [und] "instead of mayo." @ Rect(54, 1873 - 273, 1903)
09-23 01:09:45.450  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Cultural ociet" → [en conf=0.71 cyr=1] "= Ty к"
09-23 01:09:45.450  3216  3313 I ScreenTranslatorPipe:   [und] "Cultural ociet" @ Rect(118, 175 - 264, 229)
