--------- beginning of main
09-23 01:09:05.402  3216  3216 I ScreenTranslatorA11y: Accessibility service connected
09-23 01:09:05.448  3216  5827 I ScreenTranslatorPipe: model prewarm [ru→en]: ready=true in 0ms
09-23 01:09:05.565  3216  3216 I ScreenTranslatorA11y: Overlay geometry: display=1080x2400, root=1080x2400 @ (0, 0)
09-23 01:09:06.880  3216  5827 I ScreenTranslatorPipe: OCR 1080x2400 (scale=1.00) in 779ms → 84 region(s)
09-23 01:09:06.890  3216  5827 I ScreenTranslatorPipe:   [en] "undercooked meats, poultry, seafood, shellfish, or" @ Rect(54, 1688 - 471, 1709)
09-23 01:09:06.890  3216  5827 I ScreenTranslatorPipe:   [en] "mint, fresh cilantro or parsley, green onion, rice" @ Rect(50, 1599 - 427, 1616)
09-23 01:09:06.891  3216  3312 I ScreenTranslatorPipe:   [en] "S10 Salad from the Cote D'Azur of France. Tomato," @ Rect(497, 1087 - 921, 1106)
09-23 01:09:06.892  3216  3255 I ScreenTranslatorPipe:   [en] "flavored with garlic, onions, carrots, salt and a" @ Rect(554, 895 - 919, 911)
09-23 01:09:06.894  3216  3255 I ScreenTranslatorPipe:   [en] "From the Cote D'Azur region of France. Lettuce," @ Rect(50, 875 - 430, 894)
09-23 01:09:06.894  3216  3313 I ScreenTranslatorPipe:   [en] "Small cylindrical mold or basket made of leaf or" @ Rect(50, 1016 - 430, 1034)
09-23 01:09:06.895  3216  6134 I ScreenTranslatorPipe:   [en] "onions, potatoes, egg, olives, anchovies, capers" @ Rect(49, 913 - 429, 930)
09-23 01:09:06.896  3216  6134 I ScreenTranslatorPipe:   [en] "From the Cote D'Azur region of France. Lettuce," @ Rect(50, 1456 - 430, 1475)
09-23 01:09:06.897  3216  3312 I ScreenTranslatorPipe:   [en] "onions. potatoes, egg, olives, anchovies, capers" @ Rect(49, 1488 - 427, 1515)
09-23 01:09:06.897  3216  3255 I ScreenTranslatorPipe:   [en] "eggs may increase your risk offoodborne illness" @ Rect(53, 1709 - 455, 1730)
09-23 01:09:06.902  3216  6134 I ScreenTranslatorPipe:   [en] "Salad from the Cote D'Azur of France. Tomato," @ Rect(50, 1350 - 419, 1367)
09-23 01:09:06.902  3216  6134 I ScreenTranslatorPipe:   [en] "red peppers, onion, lettuce, potatoes, beans," @ Rect(50, 1369 - 407, 1386)
09-23 01:09:06.902  3216  6134 I ScreenTranslatorPipe:   [en] "red peppers, onion, lettuce, potatoes, beans," @ Rect(554, 1108 - 912, 1126)
09-23 01:09:06.902  3216  6134 I ScreenTranslatorPipe:   [en] "tomatoes, bell pepper, green beans, spring" @ Rect(49, 1474 - 391, 1492)
09-23 01:09:06.903  3216  6134 I ScreenTranslatorPipe:   [en] "tomatoes, bell pepper, green beans, spring" @ Rect(50, 895 - 390, 911)
09-23 01:09:06.903  3216  3312 I ScreenTranslatorPipe:   [en] "Cream and egg. poached vegetables and bacon." @ Rect(50, 805 - 428, 823)
09-23 01:09:06.904  3216  3255 I ScreenTranslatorPipe:   [en] "Baby cucumber, dried wakame seaweed, fresh" @ Rect(50, 1581 - 418, 1598)
09-23 01:09:06.905  3216  6134 I ScreenTranslatorPipe:   [en] "Ask your server for our chef's daily soup" @ Rect(49, 1260 - 369, 1280)
09-23 01:09:06.905  3216  6134 I ScreenTranslatorPipe:   [en] "Stew, onion, tomato and other vegetables." @ Rect(554, 807 - 896, 824)
09-23 01:09:06.906  3216  3312 I ScreenTranslatorPipe:   [en] "Beef stew cooked in Burgundy red wine and" @ Rect(554, 875 - 906, 894)
09-23 01:09:06.906  3216  6134 I ScreenTranslatorPipe:   [en] "Whipped egg whites, chocolate mousse and" @ Rect(556, 1340 - 909, 1357)
09-23 01:09:06.907  3216  6134 I ScreenTranslatorPipe:   [en] "Chicken, mushrooms and truffle bechamel" @ Rect(554, 1194 - 886, 1211)
09-23 01:09:06.908  3216  3313 I ScreenTranslatorPipe:   [en] "boiled eggs, tuna in oil and olives 15" @ Rect(50, 1384 - 337, 1403)
09-23 01:09:06.908  3216  3312 I ScreenTranslatorPipe:   [en] "Small chocolate sponge cake with melted" @ Rect(556, 1501 - 889, 1517)
09-23 01:09:06.910  3216  6134 I ScreenTranslatorPipe:   [en] "Consumer Advisory. Consuming raw or" @ Rect(52, 1669 - 386, 1690)
09-23 01:09:06.910  3216  3312 I ScreenTranslatorPipe:   [en] "or puff pastry dough. Salted. 20" @ Rect(553, 1017 - 801, 1036)
09-23 01:09:06.910  3216  3312 I ScreenTranslatorPipe:   [en] "boiled eggs, tuna in oil and olives" @ Rect(554, 1125 - 819, 1142)
09-23 01:09:06.911  3216  6134 I ScreenTranslatorPipe:   [en] "puff pastry dough. Salted." @ Rect(50, 1033 - 253, 1054)
09-23 01:09:06.912  3216  3312 I ScreenTranslatorPipe:   [en] "i. Copy text from image x" @ Rect(305, 2093 - 785, 2130)
09-23 01:09:06.913  3216  3255 I ScreenTranslatorPipe:   [en] "templates at EDIT.org" @ Rect(56, 1907 - 248, 1929)
09-23 01:09:06.914  3216  6134 I ScreenTranslatorPipe:   [en] "Editable french menu" @ Rect(55, 1892 - 246, 1908)
09-23 01:09:06.914  3216  3313 I ScreenTranslatorPipe:   [en] "Quiche Vichyssoise." @ Rect(49, 785 - 201, 805)
09-23 01:09:06.925  3216  6134 I ScreenTranslatorPipe:   [en] "selection 7" @ Rect(49, 1281 - 135, 1294)
09-23 01:09:06.947  3216  3312 I ScreenTranslatorPipe: model ready [fr→en] in 34ms
09-23 01:09:07.212  3216  5827 I ScreenTranslatorPipe:   [fr→en] "Vol-au-vent aux fruits de mer et aux" → "Vol-au-wind with seafood and" @ Rect(50, 984 - 339, 997)
09-23 01:09:07.242  3216  3312 I ScreenTranslatorPipe:   [fr→en] "Les Plats Principaux" → "Main dishes" @ Rect(554, 737 - 851, 766)
09-23 01:09:07.271  3216  3313 I ScreenTranslatorPipe:   [fr→en] "S10 Boeuf Bourguignon." → "S10 Burgundy beef." @ Rect(497, 859 - 709, 876)
09-23 01:09:07.275  3216  3312 I ScreenTranslatorPipe:   [fr→en] "Vol-au-vent aux fruits de mer et aux" → "Vol-au-wind with seafood and" @ Rect(554, 966 - 843, 980)
09-23 01:09:07.310  3216  3312 I ScreenTranslatorPipe:   [fr→en] "Galettes de poulet." → "Chicken pancakes." @ Rect(553, 1179 - 706, 1194)
09-23 01:09:07.332  3216  3255 I ScreenTranslatorPipe:   tesseract tried on [en]/garbled "SI0 Small cylindrical mold or basket made of leaf" → [und conf=0.00 cyr=8] "510 эталонов moor basket, mace tee"
09-23 01:09:07.332  3216  3255 I ScreenTranslatorPipe:   [en] "SI0 Small cylindrical mold or basket made of leaf" @ Rect(497, 997 - 912, 1017)
09-23 01:09:07.336  3216  3312 I ScreenTranslatorPipe:   [en] "S1O Delicious pear and almond cream tart." @ Rect(497, 1424 - 856, 1447)
09-23 01:09:07.347  3216  5827 I ScreenTranslatorPipe:   [fr→en] "Galettes de poulet." → "Chicken pancakes." @ Rect(49, 1090 - 201, 1106)
09-23 01:09:07.352  3216  3312 I ScreenTranslatorPipe:   [und] "Chicken, mushrooms and truffle bechamel." @ Rect(50, 1108 - 386, 1123)
09-23 01:09:07.377  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [und]/und "S10" → [und conf=0.00 cyr=0] "S10"
09-23 01:09:07.377  3216  3313 I ScreenTranslatorPipe:   [und] "S10" @ Rect(1002, 1475 - 1036, 1493)
09-23 01:09:07.378  3216  3313 I ScreenTranslatorPipe:   [fr→en] "Mousse au Chocolat." → "Chocolate mousse." @ Rect(556, 1321 - 716, 1338)
09-23 01:09:07.380  3216  3313 I ScreenTranslatorPipe:   [fr→en] "fruit mousse." → "Fruit foam." @ Rect(556, 1357 - 658, 1372)
09-23 01:09:07.391  3216  6135 I ScreenTranslatorPipe:   [fr→en] "Soupe du Jour" → "Soup of the day" @ Rect(50, 1245 - 163, 1261)
09-23 01:09:07.392  3216  6135 I ScreenTranslatorPipe:   [fr→en] "Soupe et Salades" → "Soup and salads" @ Rect(49, 1185 - 300, 1222)
09-23 01:09:07.396  3216  6135 I ScreenTranslatorPipe:   [fr→en] "Entrées" → "Entries" @ Rect(50, 738 - 159, 759)
09-23 01:09:07.486  3216  3313 I ScreenTranslatorPipe:   tesseract tried on [fr]/low-conf(0.91) "S10 Fricandeaux de Boeuf." → [bg conf=0.68 cyr=12] "S10 Еисапаваик че a"
09-23 01:09:07.487  3216  3313 I ScreenTranslatorPipe:   [und] "S10 Fricandeaux de Boeuf." @ Rect(497, 785 - 720, 806)
09-23 01:09:07.487  3216  6134 I ScreenTranslatorPipe:   [und] "Salade de Concombre." @ Rect(49, 1561 - 222, 1579)
09-23 01:09:07.550  3216  3312 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Mi-cuit au chocolat" → [en conf=0.64 cyr=0] "pede heed"
09-23 01:09:07.550  3216  3312 I ScreenTranslatorPipe:   [und] "Mi-cuit au chocolat" @ Rect(555, 1479 - 709, 1498)
09-23 01:09:07.610  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Tarte Bourdaloue." → [und conf=0.00 cyr=12] "талевоиааоие,,,"
09-23 01:09:07.665  3216  6136 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Salade Niçoise." → [en conf=0.82 cyr=0] "Pern:"
09-23 01:09:07.665  3216  6136 I ScreenTranslatorPipe:   [und] "Salade Niçoise." @ Rect(49, 1331 - 166, 1348)
09-23 01:09:07.670  3216  6134 I ScreenTranslatorPipe:   [und] "bouquet garni." @ Rect(554, 911 - 670, 930)
09-23 01:09:07.719  3216  6135 I ScreenTranslatorPipe:   [und] "Salade Niçoise." @ Rect(49, 1436 - 165, 1459)
09-23 01:09:07.721  3216  6136 I ScreenTranslatorPipe:   [und] "champignons." @ Rect(50, 1002 - 158, 1018)
09-23 01:09:07.750  3216  5827 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Salade Niçoise." → [und conf=0.00 cyr=0] "rental ag Sos"
09-23 01:09:07.750  3216  5827 I ScreenTranslatorPipe:   [und] "Salade Niçoise." @ Rect(50, 860 - 164, 877)
09-23 01:09:07.769  3216  6135 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Les Desserts" → [und conf=0.00 cyr=0] "Les Desserts"
09-23 01:09:07.769  3216  6135 I ScreenTranslatorPipe:   [und] "Les Desserts" @ Rect(553, 1263 - 741, 1291)
09-23 01:09:07.846  3216  3313 I ScreenTranslatorPipe:   [ru/comic] read "Тале Вои ыы ие." (ML Kit "Tarte Bourdaloue.") @ Rect(555, 1408 - 693, 1427)
09-23 01:09:07.875  3216  3255 I ScreenTranslatorPipe:   tesseract tried on [und]/und "Salade Niçoise." → [und conf=0.00 cyr=0] "Einerpiaeayecepe"
09-23 01:09:07.875  3216  3255 I ScreenTranslatorPipe:   [und] "Salade Niçoise." @ Rect(554, 1073 - 671, 1089)
