--------- beginning of main
09-23 01:09:23.788  3216  3216 I ScreenTranslatorA11y: Accessibility service connected
09-23 01:09:23.814  3216  3312 I ScreenTranslatorPipe: model prewarm [fr→en]: ready=true in 0ms
09-23 01:09:23.939  3216  3216 I ScreenTranslatorA11y: Overlay geometry: display=1080x2400, root=1080x2400 @ (0, 0)
09-23 01:09:23.979  3216  3216 I ScreenTranslatorA11y: language focus set externally: ru
09-23 01:09:23.980  3216  6134 I ScreenTranslatorPipe: model prewarm [ru→en]: ready=true in 0ms
09-23 01:09:25.351  3216  6134 I ScreenTranslatorPipe: OCR 1080x2400 (scale=1.00) in 802ms → 84 region(s)
09-23 01:09:25.358  3216  6135 I ScreenTranslatorPipe:   [en/focus-skip] "undercooked meats, poultry, seafood, shellfish, or" @ Rect(54, 1688 - 471, 1709)
09-23 01:09:25.358  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "mint, fresh cilantro or parsley, green onion, rice" @ Rect(50, 1599 - 427, 1616)
09-23 01:09:25.358  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "flavored with garlic, onions, carrots, salt and a" @ Rect(554, 895 - 919, 911)
09-23 01:09:25.359  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "onions, potatoes, egg, olives, anchovies, capers" @ Rect(49, 913 - 429, 930)
09-23 01:09:25.360  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "Small cylindrical mold or basket made of leaf or" @ Rect(50, 1016 - 430, 1034)
09-23 01:09:25.360  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "onions. potatoes, egg, olives, anchovies, capers" @ Rect(49, 1488 - 427, 1515)
09-23 01:09:25.361  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "S10 Salad from the Cote D'Azur of France. Tomato," @ Rect(497, 1087 - 921, 1106)
09-23 01:09:25.362  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "From the Cote D'Azur region of France. Lettuce," @ Rect(50, 1456 - 430, 1475)
09-23 01:09:25.362  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "From the Cote D'Azur region of France. Lettuce," @ Rect(50, 875 - 430, 894)
09-23 01:09:25.362  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "eggs may increase your risk offoodborne illness" @ Rect(53, 1709 - 455, 1730)
09-23 01:09:25.363  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "red peppers, onion, lettuce, potatoes, beans," @ Rect(50, 1369 - 407, 1386)
09-23 01:09:25.363  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "Salad from the Cote D'Azur of France. Tomato," @ Rect(50, 1350 - 419, 1367)
09-23 01:09:25.363  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "Cream and egg. poached vegetables and bacon." @ Rect(50, 805 - 428, 823)
09-23 01:09:25.364  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "red peppers, onion, lettuce, potatoes, beans," @ Rect(554, 1108 - 912, 1126)
09-23 01:09:25.364  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "tomatoes, bell pepper, green beans, spring" @ Rect(50, 895 - 390, 911)
09-23 01:09:25.364  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "tomatoes, bell pepper, green beans, spring" @ Rect(49, 1474 - 391, 1492)
09-23 01:09:25.364  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "Baby cucumber, dried wakame seaweed, fresh" @ Rect(50, 1581 - 418, 1598)
09-23 01:09:25.365  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Ask your server for our chef's daily soup" @ Rect(49, 1260 - 369, 1280)
09-23 01:09:25.365  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Stew, onion, tomato and other vegetables." @ Rect(554, 807 - 896, 824)
09-23 01:09:25.365  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Beef stew cooked in Burgundy red wine and" @ Rect(554, 875 - 906, 894)
09-23 01:09:25.366  3216  3312 I ScreenTranslatorPipe:   [en/focus-skip] "Whipped egg whites, chocolate mousse and" @ Rect(556, 1340 - 909, 1357)
09-23 01:09:25.367  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "Chicken, mushrooms and truffle bechamel" @ Rect(554, 1194 - 886, 1211)
09-23 01:09:25.370  3216  3312 I ScreenTranslatorPipe:   [en/focus-skip] "Small chocolate sponge cake with melted" @ Rect(556, 1501 - 889, 1517)
09-23 01:09:25.371  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Consumer Advisory. Consuming raw or" @ Rect(52, 1669 - 386, 1690)
09-23 01:09:25.372  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "boiled eggs, tuna in oil and olives" @ Rect(554, 1125 - 819, 1142)
09-23 01:09:25.372  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "or puff pastry dough. Salted. 20" @ Rect(553, 1017 - 801, 1036)
09-23 01:09:25.372  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "puff pastry dough. Salted." @ Rect(50, 1033 - 253, 1054)
09-23 01:09:25.373  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "i. Copy text from image x" @ Rect(305, 2093 - 785, 2130)
09-23 01:09:25.374  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "templates at EDIT.org" @ Rect(56, 1907 - 248, 1929)
09-23 01:09:25.375  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Editable french menu" @ Rect(55, 1892 - 246, 1908)
09-23 01:09:25.376  3216  5827 I ScreenTranslatorPipe:   [en/focus-skip] "Quiche Vichyssoise." @ Rect(49, 785 - 201, 805)
09-23 01:09:25.383  3216  6136 I ScreenTranslatorPipe:   [en/focus-skip] "boiled eggs, tuna in oil and olives 15" @ Rect(50, 1384 - 337, 1403)
09-23 01:09:25.391  3216  3312 I ScreenTranslatorPipe:   [en/focus-skip] "selection 7" @ Rect(49, 1281 - 135, 1294)
09-23 01:09:26.148  3216  3312 I ScreenTranslatorPipe:   [ru/focus→en] "Боидие! дать" → "Боидие! to give" @ Rect(554, 911 - 670, 930)
09-23 01:09:26.597  3216  5827 I ScreenTranslatorPipe:   [ru/focus→en] "Мой-зи-мети гих Нтийз де тег в? зих" → "My zi-methi nytz de tag in? зих" @ Rect(50, 984 - 339, 997)
09-23 01:09:27.009  3216  6136 I ScreenTranslatorPipe:   [ru/focus→en] "ЕЙ!" → "It!" @ Rect(382, 2284 - 445, 2313)
09-23 01:09:27.043  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "Саеттев ае рошгет" → "Sayteteva ae Rochet" @ Rect(49, 1090 - 201, 1106)
09-23 01:09:27.085  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "Ммоизее зо СЯ осо!" → "Mmoissee Zoa OSO!" @ Rect(556, 1321 - 716, 1338)
09-23 01:09:27.097  3216  6136 I ScreenTranslatorPipe:   [ru/focus→en] "Тале Вои ыы ие." → "Hair Wari Ya." @ Rect(555, 1408 - 693, 1427)
09-23 01:09:27.167  3216  3312 I ScreenTranslatorPipe:   [ru/focus→en] "ты пои." → "You sing." @ Rect(556, 1357 - 658, 1372)
09-23 01:09:27.227  3216  3312 I ScreenTranslatorPipe:   [ru/focus→en] "саабе Моне." → "Saab Monet." @ Rect(49, 1436 - 165, 1459)
09-23 01:09:27.259  3216  3312 I ScreenTranslatorPipe:   [ru/focus→en] "апд кипа." → "ADF Kipa." @ Rect(50, 931 - 122, 944)
09-23 01:09:27.569  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "унпедаг 20" → "Unpedag 20" @ Rect(48, 1616 - 131, 1633)
09-23 01:09:27.724  3216  3313 I ScreenTranslatorPipe:   [ru→en] no-op "КОЧСЕ"; no card
09-23 01:09:27.724  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "КОЧСЕ" → "?" @ Rect(322, 604 - 757, 690)
09-23 01:09:27.909  3216  6134 I ScreenTranslatorPipe:   [ru/focus→en] "#Ю тай суйлопсы! тойд се Бавёех табе о! ин!" → "#U Tai Suylopsy! TOYAD CE BAVEEH Tab O! John!" @ Rect(497, 997 - 912, 1017)
09-23 01:09:27.937  3216  5827 I ScreenTranslatorPipe:   [ru/focus→en] "510  ЕМсапдеаих де Всеи!." → "510 EMSAPDEAY DEASH!." @ Rect(497, 785 - 720, 806)
09-23 01:09:28.011  3216  3312 I ScreenTranslatorPipe:   [ru/focus→en] "Уонанмем вых НиКв бе тег е% зих" → "Wanonmem Nikv Be tag E% winter" @ Rect(554, 966 - 843, 980)
09-23 01:09:28.032  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "Сагет!ес ае роще!" → "Saget! EU Ae Grove!" @ Rect(553, 1179 - 706, 1194)
09-23 01:09:28.077  3216  5827 I ScreenTranslatorPipe:   [ru/focus→en] "МНсий зи спосо!а" → "Marsti zi SPOS! A" @ Rect(555, 1479 - 709, 1498)
09-23 01:09:28.148  3216  6134 I ScreenTranslatorPipe:   [ru/focus→en] "Г. РЧ ор @ бе Сопс дей ль ей в," → "G. RF OR @ BEP SOVI TO HER B" @ Rect(49, 1561 - 222, 1579)
09-23 01:09:28.266  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "Стиекеп, тизгоот апа ги'Пе Беспагте!." → "Schep, Tizgot Apa Gi'pe Cupphat!." @ Rect(50, 1108 - 386, 1123)
09-23 01:09:28.356  3216  6134 I ScreenTranslatorPipe:   [ru/focus→en] "САЕЕ ВТСОТ" → "SAYE VTSOT" @ Rect(177, 491 - 902, 587)
09-23 01:09:28.377  3216  3255 I ScreenTranslatorPipe:   [ru/focus→en] "Ве!е!е" → "Island! £! Is," @ Rect(863, 2281 - 972, 2315)
09-23 01:09:28.396  3216  5827 I ScreenTranslatorPipe:   [ru/focus→en] "кепок." → "caps." @ Rect(556, 1518 - 614, 1532)
09-23 01:09:28.431  3216  5827 I ScreenTranslatorPipe:   [ru/focus→en] "ЕРКЕМСН МЕМО" → "Erkemsn Memo" @ Rect(57, 1861 - 218, 1882)
09-23 01:09:28.480  3216  3313 I ScreenTranslatorPipe:   [ru/focus→en] "апа кипа. 20" → "APA KIPA. 20" @ Rect(49, 1511 - 146, 1525)
09-23 01:09:28.481  3216  3313 I ScreenTranslatorPipe: language signal: counts={ru=22} → ru
09-23 01:09:28.482  3216  3313 I ScreenTranslatorPipe: model prewarm [ru→en]: ready=true in 0ms
09-23 01:09:28.495  3216  6134 I ScreenTranslatorPipe: LID+NMT for 84 region(s) in 3130ms → 22 card(s)
