scenario,case_id,build,locale,frame_id,ts_ms,pkg,path,total_ms,harvest_ms,root_ms,walk_ms,hash_ms,ocr_ms,nmt_ms,overlay_ms,n_regions,n_cards,ocr_raw,ocr_kept,ocr_w,ocr_h,ocr_scale,connect_to_cards_ms
first_view,menu_fr,803eb99,en-US,3,1790121033810,com.google.android.apps.photos,ocr_full,2448,59,10,49,2,1130,1056,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,4,1790121037449,com.google.android.apps.photos,ocr_full,2009,49,9,40,1,798,956,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,5,1790121040990,com.google.android.apps.photos,ocr_full,1703,26,8,18,1,581,940,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,6,1790121044090,com.google.android.apps.photos,ocr_full,1754,27,6,21,1,609,968,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,7,1790121047146,com.google.android.apps.photos,ocr_full,1762,33,4,29,0,602,962,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,8,1790121050197,com.google.android.apps.photos,ocr_full,1789,48,7,41,1,634,944,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,9,1790121053272,com.google.android.apps.photos,ocr_full,1731,27,9,18,0,571,968,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,10,1790121056377,com.google.android.apps.photos,ocr_full,1874,47,10,37,1,641,978,4,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,11,1790121059496,com.google.android.apps.photos,ocr_full,1704,56,7,49,0,601,907,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,14,1790121062677,com.google.android.apps.photos,ocr_full,2002,34,7,27,1,694,1031,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,15,1790121066246,com.google.android.apps.photos,ocr_full,1847,28,12,16,1,661,960,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,16,1790121069377,com.google.android.apps.photos,ocr_full,1643,27,9,18,1,536,923,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,17,1790121072520,com.google.android.apps.photos,ocr_full,1818,25,11,14,0,666,908,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,18,1790121075649,com.google.android.apps.photos,ocr_full,1620,36,6,30,1,542,882,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,19,1790121078763,com.google.android.apps.photos,ocr_full,2087,48,5,43,1,933,946,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,20,1790121082311,com.google.android.apps.photos,ocr_full,1699,20,3,17,1,560,962,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,21,1790121085471,com.google.android.apps.photos,ocr_full,2048,140,6,134,0,747,983,1,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,22,1790121089134,com.google.android.apps.photos,ocr_full,1927,62,8,54,1,621,1049,2,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,23,1790121092311,com.google.android.apps.photos,ocr_full,1745,29,8,21,0,599,963,3,84,15,84,84,1080,2400,1.0,
first_view,menu_fr,803eb99,en-US,25,1790121095490,com.google.android.apps.photos,ocr_full,1784,12,2,10,0,639,990,2,84,15,84,84,1080,2400,1.0,
first_view,menu_ru,803eb99,en-US,29,1790121127536,com.google.android.apps.photos,ocr_full,5404,43,8,35,2,943,4217,4,168,77,168,120,1080,2400,1.0,
first_view,menu_ru,803eb99,en-US,30,1790121134395,com.google.android.apps.photos,ocr_full,5116,47,13,34,1,872,3973,2,168,77,168,120,1080,2400,1.0,
