case_id,build_sha,device,android_version,display_px,app_package,source_uri_or_asset,locale,viewport_and_zoom,focus,model_state,source_screenshot,output_screenshot,trace_csv,notes
menu_ru,87500c1,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/captures/menu_ru/20260922T205140Z/source.png,study/evaluation/captures/menu_ru/20260922T205140Z/output.png,study/evaluation/captures/menu_ru/20260922T205140Z/frames.csv,"settled=yes after 16.3s; 4 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
menu_fr,87500c1,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/captures/menu_fr/20260922T205646Z/source.png,study/evaluation/captures/menu_fr/20260922T205646Z/output.png,study/evaluation/captures/menu_fr/20260922T205646Z/frames.csv,"settled=yes after 12.8s; 3 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_de,87500c1,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_german.jpg,en-US,Photos viewer default fit-to-screen,auto,de_en present,study/evaluation/captures/menu_de/20260922T205709Z/source.png,study/evaluation/captures/menu_de/20260922T205709Z/output.png,study/evaluation/captures/menu_de/20260922T205709Z/frames.csv,"settled=yes after 9.4s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_german.jpg -> content://media/external/images/media/1000000028"
english_control,87500c1,sdk_gphone64_arm64,14,1080x2400,com.android.settings,English Android Settings,en-US,Settings main list scrolled to top,auto,no model needed (English source),study/evaluation/captures/english_control/20260922T205729Z/source.png,study/evaluation/captures/english_control/20260922T205729Z/output.png,study/evaluation/captures/english_control/20260922T205729Z/frames.csv,"settled=yes after 8.4s; 4 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=intent android.settings.SETTINGS"
settings_ru,87500c1,sdk_gphone64_arm64,14,1080x2400,com.android.settings,Russian Android Settings,ru-RU,Settings main list scrolled to top,auto,en_ru present,study/evaluation/captures/settings_ru/20260922T205854Z/source.png,study/evaluation/captures/settings_ru/20260922T205854Z/output.png,study/evaluation/captures/settings_ru/20260922T205854Z/frames.csv,"settled=yes after 8.2s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=intent android.settings.SETTINGS"
menu_fr,af1236c,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_french.webp,en-US,Photos viewer default fit-to-screen,auto,en_fr present,study/evaluation/captures/menu_fr/20260922T230856Z/source.png,study/evaluation/captures/menu_fr/20260922T230856Z/output.png,study/evaluation/captures/menu_fr/20260922T230856Z/frames.csv,"settled=yes after 8.4s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_french.webp -> content://media/external/images/media/1000000029"
menu_ru,af1236c,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_russian.jpg,en-US,Photos viewer default fit-to-screen,ru,en_ru present,study/evaluation/captures/menu_ru/20260922T230916Z/source.png,study/evaluation/captures/menu_ru/20260922T230916Z/output.png,study/evaluation/captures/menu_ru/20260922T230916Z/frames.csv,"INVALID: Photos kept showing the menu_fr image (capture-script bug, fixed with am start -S); re-captured; settled=yes after 9.7s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_russian.jpg -> content://media/external/images/media/1000000027"
menu_de,af1236c,sdk_gphone64_arm64,14,1080x2400,com.google.android.apps.photos,study/menu_findings/source_german.jpg,en-US,Photos viewer default fit-to-screen,auto,de_en present,study/evaluation/captures/menu_de/20260922T230935Z/source.png,study/evaluation/captures/menu_de/20260922T230935Z/output.png,study/evaluation/captures/menu_de/20260922T230935Z/frames.csv,"settled=yes after 13.0s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=study/menu_findings/source_german.jpg -> content://media/external/images/media/1000000028"
english_control,af1236c,sdk_gphone64_arm64,14,1080x2400,com.android.settings,English Android Settings,en-US,Settings main list scrolled to top,auto,no model needed (English source),study/evaluation/captures/english_control/20260922T230959Z/source.png,study/evaluation/captures/english_control/20260922T230959Z/output.png,study/evaluation/captures/english_control/20260922T230959Z/frames.csv,"settled=yes after 6.7s; 2 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=intent android.settings.SETTINGS"
settings_ru,af1236c,sdk_gphone64_arm64,14,1080x2400,com.android.settings,Russian Android Settings,ru-RU,Settings main list scrolled to top,auto,en_ru present,study/evaluation/captures/settings_ru/20260922T231056Z/source.png,study/evaluation/captures/settings_ru/20260922T231056Z/output.png,study/evaluation/captures/settings_ru/20260922T231056Z/frames.csv,"settled=yes after 6.8s; 1 pipeline pass(es); service reconnected before capture: warm model, empty caches; launch=intent android.settings.SETTINGS"
